,,,,,,,,,,,,,,,,Benchmark  /  Model MLC  /  Scenario  /  Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Inference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3d-unet-99,3d-unet-99.9,dlrm-v2-99,,dlrm-v2-99.9,,gptj-99,,gptj-99.9,,llama2-70b-99,,llama2-70b-99.9,,llama2-70b-interactive-99,,llama2-70b-interactive-99.9,,llama3.1-405b,,mixtral-8x7b,,resnet,,retinanet,,rgat,stable-diffusion-xl,
,,,,,,,,,,,,,,,,Offline,Offline,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Offline,Server
Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor (click + for details),# of  Processors ,Accelerator (click + for details),# of Accelerators,Availability,Accelerator (click + for details),Host Processor Core Count,Processor (click + for details),Sum of # of  Processors ,Division/Power,,Samples/s,Samples/s,Samples/s,Queries/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Samples/s,Queries/s,Samples/s,Samples/s,Queries/s
,,,,,,,,,,,,,,,# of Nodes,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,"21,171.30","21,533.90","21,171.30","21,533.90","34,807.10","33,037.22","34,807.10","33,037.22","34,809.30","19,418.50","34,809.30","19,418.50",557.10,291.18,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,2,Virtualized NVIDIA H100-SXM-80GB,8,available,Virtualized NVIDIA H100-SXM-80GB,48,Intel(R) Xeon(R) Platinum 8568Y+,2,Closed ,# of Accelerators,8,8,,,,,8,8,8,8,,,,,,,,,,,,,,,8,8,,,
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,51.38,51.38,,,,,"19,936.50","19,318.90","19,936.50","19,318.90",,,,,,,,,,,,,,,"14,313.30","12,869.80",,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,2,2,2,2,,,,,,,,,,,,,,,2,2,,,
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,2,N/A,0,available,N/A,86,INTEL(R) XEON(R) 6787P,2,Closed ,# of Accelerators,,0,,,,,,,0,0,,,,,,,,,,,,,0,0,0,0,,,
,,,,,,,,,,,,,,,# of Nodes,,1,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,2.26,,,,,,,315.39,168.69,,,,,,,,,,,,,"31,559.20","27,988.00",476.59,350.92,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,2,,,,,,,2,2,,,,,,,,,,,,,2,2,2,2,,,
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,2,NVIDIA H100-NVL-94GB,2,available,NVIDIA H100-NVL-94GB,24,AMD EPYC 9224,2,Closed ,# of Accelerators,2,,2,2,,,2,2,,,2,2,,,,,,,,,,,2,2,2,2,,,
,,,,,,,,,,,,,,,# of Nodes,1,,1,1,,,1,1,,,1,1,,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,10.83,,"103,047.00","96,987.80",,,"3,789.42","3,305.27",,,"3,741.32","3,337.55",,,,,,,,,,,"124,595.00","109,989.00","2,677.13","2,400.54",,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,,2,2,,,2,2,,,2,2,,,,,,,,,,,2,2,2,2,,,
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,2,NVIDIA H100-SXM-80GB,8,available,NVIDIA H100-SXM-80GB,64,AMD EPYC 9554 64-Core Processor,2,Closed ,# of Accelerators,,,,,,,8,8,8,8,8,8,8,8,,,,,,,8,8,8,8,8,8,,8,8
,,,,,,,,,,,,,,,# of Nodes,,,,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,1,1
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,"20,307.70","20,706.70","20,307.70","20,706.70","30,899.70","26,599.38","30,899.70","26,599.38",,,,,,,"52,724.40","53,299.30","715,761.00","652,002.00","14,476.30","13,908.70",,18.38,17.79
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,2,2,2,2,2,2,2,2,,,,,,,2,2,2,2,2,2,,2,2
5.0-0011,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),1,AMD EPYC 9575F,2,NVIDIA H200-SXM-141GB,8,available,NVIDIA H200-SXM-141GB,128,AMD EPYC 9575F,2,Closed ,# of Accelerators,,,,,,,8,8,8,8,8,8,8,8,8,8,,,8,8,,,8,8,,,,,
,,,,,,,,,,,,,,,# of Nodes,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,"21,557.80","21,813.40","21,557.80","21,813.40","34,081.10","30,420.23","34,081.10","30,420.23","35,102.50","19,437.40",,,573.57,294.28,,,"770,496.00","648,207.00",,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,,,2,2,,,,,
5.0-0012,Cisco,available,UCS C245 M8 (2x L40S TensorRT),1,AMD EPYC 9684X 128-Core Processor,2,NVIDIA L40S,2,available,NVIDIA L40S,64,AMD EPYC 9684X 128-Core Processor,2,Closed ,# of Accelerators,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2
,,,,,,,,,,,,,,,# of Nodes,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,Avg. Result at System Name,7.76,,"57,832.50","49,591.60",,,,,,,,,,,,,,,,,,,,,,,,1.44,1.27
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2
5.0-0013,Cisco,available,UCS X215 M8 (2x L40S TensorRT),1,AMD EPYC 9224 24-Core Processor,2,NVIDIA L40S,2,available,NVIDIA L40S,64,AMD EPYC 9224 24-Core Processor,2,Closed ,# of Accelerators,2,,2,2,,,2,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,7.69,,"57,918.10","49,591.60",,,"1,754.97","1,745.78",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,,2,2,,,2,2,,,,,,,,,,,,,,,,,,,,,
